accuracy,auc,loss,val_accuracy,val_auc,val_loss,learning_rate
0.8668224215507507,0.9679273366928101,0.2629804015159607,0.7423664331436157,0.7788346409797668,0.613383948802948,0.0010000000474974513
0.9415887594223022,0.9876601099967957,0.14809226989746094,0.7423664331436157,0.8360849618911743,0.7958175539970398,0.0010000000474974513
0.955182671546936,0.9911543726921082,0.12220416963100433,0.7423664331436157,0.960658848285675,0.84033203125,0.0010000000474974513
0.9585811495780945,0.9932399988174438,0.10618657618761063,0.7423664331436157,0.9655241370201111,0.522028923034668,0.0010000000474974513
0.9649532437324524,0.9950820207595825,0.0919884517788887,0.7423664331436157,0.9676188230514526,0.9121631383895874,0.0010000000474974513
0.969838559627533,0.9958010315895081,0.08005508035421371,0.8664122223854065,0.9294296503067017,0.37841853499412537,0.0010000000474974513
0.9751486778259277,0.9973814487457275,0.06824973225593567,0.6374045610427856,0.958221435546875,0.6730856895446777,0.0010000000474974513
0.9766355156898499,0.9977644085884094,0.0619167760014534,0.9541984796524048,0.9948490858078003,0.09864366054534912,0.0010000000474974513
0.9817332029342651,0.9985203146934509,0.050540462136268616,0.9599236845970154,0.9938874840736389,0.10801909863948822,0.0010000000474974513
0.983857274055481,0.9987930655479431,0.046676311641931534,0.767175555229187,0.9648481607437134,0.5616461038589478,0.0010000000474974513
0.9874681234359741,0.9992337226867676,0.03871626779437065,0.9427480697631836,0.9924116730690002,0.15527793765068054,0.0010000000474974513
0.9878929257392883,0.9994136095046997,0.03419099003076553,0.7862595319747925,0.963810384273529,0.7939947247505188,0.0005000000237487257
0.9904417991638184,0.9994492530822754,0.031113559380173683,0.9561068415641785,0.9927449822425842,0.13166548311710358,0.0005000000237487257
0.9966015219688416,0.9999048113822937,0.018499812111258507,0.9580152630805969,0.9936971068382263,0.1268129199743271,0.0005000000237487257
0.9972387552261353,0.9999685287475586,0.013636531308293343,0.9675572514533997,0.9956203699111938,0.07477644830942154,0.0002500000118743628
0.9985131621360779,0.9999890923500061,0.011382803320884705,0.9561068415641785,0.9962297081947327,0.09444495290517807,0.0002500000118743628
0.9987255930900574,0.9999960660934448,0.010760173201560974,0.9370229244232178,0.9924973249435425,0.16477680206298828,0.0002500000118743628
0.9993627667427063,0.9999998807907104,0.00879955105483532,0.9408397078514099,0.9921832084655762,0.1493401974439621,0.0002500000118743628
0.9993627667427063,0.9999990463256836,0.008526818826794624,0.9618320465087891,0.9963153004646301,0.08911637961864471,0.0001250000059371814
0.9993627667427063,0.9999998211860657,0.0076923668384552,0.9713740348815918,0.9958202838897705,0.07611892372369766,0.0001250000059371814
0.9995751976966858,0.9999997615814209,0.007034901529550552,0.9713740348815918,0.9957917332649231,0.07649590820074081,0.0001250000059371814
0.9995751976966858,1.0,0.006527778226882219,0.9790076613426208,0.9960583448410034,0.07272063195705414,6.25000029685907e-05
0.9997875690460205,1.0,0.006312369368970394,0.9770992398262024,0.9960867762565613,0.07512576133012772,6.25000029685907e-05
1.0,1.0,0.006031658500432968,0.9770992398262024,0.9960582852363586,0.06984705477952957,6.25000029685907e-05
0.9997875690460205,1.0,0.005737043917179108,0.9751908183097839,0.9960963726043701,0.07076051086187363,6.25000029685907e-05
0.9997875690460205,1.0000001192092896,0.005595635622739792,0.9770992398262024,0.9961059093475342,0.06892126053571701,6.25000029685907e-05
0.9995751976966858,1.0,0.005295563023537397,0.9790076613426208,0.9960201978683472,0.07023098319768906,6.25000029685907e-05
