,precision,recall,f1-score,support
Normal,0.9865771812080537,0.6282051282051282,0.7676240208877284,234.0
Pneumonia,0.8168421052631579,0.9948717948717949,0.8971098265895954,390.0
accuracy,0.8573717948717948,0.8573717948717948,0.8573717948717948,0.8573717948717948
macro avg,0.9017096432356058,0.8115384615384615,0.832366923738662,624.0
weighted avg,0.8804927587424939,0.8573717948717948,0.8485526494513953,624.0
