Model,Accuracy,Balanced Accuracy,Precision,Recall,F1-score,ROC-AUC,Log Loss,ECE
LightGBM Embeddings,0.8573717948717948,0.8115384615384615,0.8168421052631579,0.9948717948717949,0.8971098265895954,0.9474358974358975,1.1608275235477414,0.36041196509301454
XGBoost Embeddings,0.8573717948717948,0.8123931623931624,0.8181818181818182,0.9923076923076923,0.8968713789107764,0.9525914968222661,0.7427755981429387,0.3512135002723274
SoftVoting Embeddings,0.8541666666666666,0.8081196581196581,0.8147368421052632,0.9923076923076923,0.8947976878612717,0.9662502739425816,0.585071682388452,0.3351985628920674
LogisticRegression Embeddings,0.8525641025641025,0.8051282051282052,0.8117154811715481,0.9948717948717949,0.8940092165898618,0.9338154722770107,1.2465215809747379,0.35662148012196493
ExtraTrees Embeddings,0.8477564102564102,0.7995726495726496,0.8079331941544885,0.9923076923076923,0.8906789413118527,0.958031996493535,1.0374570032492683,0.31611778846153854
RandomForest Embeddings,0.8461538461538461,0.7974358974358975,0.80625,0.9923076923076923,0.8896551724137931,0.9577142230988386,1.0676914273700753,0.3161939102564102
Compact CNN,0.8173076923076923,0.7564102564102564,0.7738095238095238,1.0,0.87248322147651,0.9636752136752137,0.7644991399749295,0.3375333373551257
