,precision,recall,f1-score,support
Normal,1.0,0.5128205128205128,0.6779661016949152,234.0
Pneumonia,0.7738095238095238,1.0,0.87248322147651,390.0
accuracy,0.8173076923076923,0.8173076923076923,0.8173076923076923,0.8173076923076923
macro avg,0.8869047619047619,0.7564102564102564,0.7752246615857126,624.0
weighted avg,0.8586309523809523,0.8173076923076923,0.799539301558412,624.0
