embedding_feature,mean_abs_shap
emb_061,0.03622532570435844
emb_118,0.03316900123231593
emb_040,0.023562583637858903
emb_037,0.02223145026751119
emb_050,0.02034669618891198
emb_042,0.015909038001864564
emb_027,0.015761434804621423
emb_087,0.014582047737431717
emb_022,0.012039124228573665
emb_084,0.011868169884454114
emb_078,0.011612905825031515
emb_039,0.011531048836522123
emb_031,0.01129311429169956
emb_117,0.010888164302128413
emb_019,0.010491578429976786
emb_090,0.010268866083884727
emb_069,0.00967610486375446
emb_021,0.009280079336696096
emb_111,0.009234956894006193
emb_043,0.008053925917236672
emb_099,0.007292480819890698
emb_092,0.007015587546606512
emb_004,0.006687001521856111
emb_053,0.006503390792660946
emb_016,0.006201256894457087
emb_127,0.006176414102373564
emb_083,0.005835786705699072
emb_017,0.005680174528716343
emb_002,0.005519866199455723
emb_063,0.005459982837786679
emb_044,0.0054336020030962655
emb_009,0.0053930152771208785
emb_013,0.005204747505434484
emb_012,0.005114177207389992
emb_114,0.004721865571006182
emb_116,0.004456684262986744
emb_080,0.00439248329036533
emb_079,0.004292959629615085
emb_064,0.004251192421095535
emb_102,0.004241895809077444
emb_076,0.004236590547007741
emb_059,0.004206167478213149
emb_112,0.004180774149986113
emb_046,0.003834425733701167
emb_060,0.003816134431520016
emb_056,0.003629675883871147
emb_048,0.0035651584331046677
emb_071,0.0035479047422095297
emb_068,0.0033989506559665692
emb_097,0.003379732791456169
emb_121,0.0033030405780772633
emb_066,0.0032429773741250853
emb_047,0.00316801916846271
emb_045,0.0031142049488589465
emb_115,0.0026757849610851304
emb_024,0.002655889876026669
emb_001,0.0025135094770032534
emb_014,0.0025021493915832888
emb_070,0.002452913762363705
emb_052,0.00244430632955163
emb_091,0.0024363906551354577
emb_107,0.0024053504904470928
emb_005,0.002401963162479991
emb_100,0.002328134204755722
emb_055,0.0022064232874911605
emb_023,0.0021685697711993773
emb_030,0.0020338238434731482
emb_062,0.0019961645781674574
emb_034,0.001985091994288783
emb_110,0.0019188430421281737
emb_113,0.0018310936233470669
emb_088,0.001820494802358069
emb_000,0.0018100059231283758
emb_057,0.0017630152198270788
emb_104,0.0016892849108355945
emb_096,0.001674579684424815
emb_089,0.0016693229664009194
emb_103,0.0016661196476208335
emb_041,0.0016447041139629932
emb_109,0.0016137862840029157
emb_029,0.0015910454353635223
emb_006,0.0015318784600281735
emb_028,0.0014972759398339149
emb_095,0.0014929291659084292
emb_015,0.001455852725177977
emb_086,0.0014289156848676459
emb_077,0.0014253923509252718
emb_122,0.0013533227364281785
emb_073,0.0013247307209408082
emb_075,0.0013002408971168986
emb_082,0.001285185319779489
emb_065,0.0012843491828334122
emb_093,0.0012135953947990392
emb_094,0.0011205855392784037
emb_119,0.0011073303150509438
emb_123,0.0010926318164956677
emb_026,0.0010783203727360341
emb_003,0.0010513534184189686
emb_049,0.0010449764435022664
emb_051,0.0010417191163882454
emb_106,0.0010242047201924399
emb_074,0.001021942052425533
emb_011,0.0009938383118299858
emb_072,0.0009842178613854826
emb_038,0.0009581925732154228
emb_033,0.0009517558420679862
emb_081,0.000946677260299177
emb_108,0.0008857849403110696
emb_018,0.0008645076639177363
emb_085,0.0008359182986321059
emb_067,0.0008156024592629805
emb_054,0.0006841873901642842
emb_120,0.0006603624753949108
emb_036,0.0005895723214527584
emb_126,0.0005842609422520941
emb_101,0.0005763233681309615
emb_025,0.000554745339394944
emb_020,0.0005401799024915544
emb_105,0.0005374937887077537
emb_098,0.0005105783696129264
emb_058,0.000493652592792428
emb_008,0.00045493021918662993
emb_032,0.0004239450506038962
emb_124,0.0004110098999232202
emb_010,0.00038684845090793026
emb_125,0.0003705532843814824
emb_007,0.0003606757707285452
emb_035,0.00032700302051235996
